GPU Times, time.time(), clock_realtime
696904073074,1674351772.160032,1674351772.160042
696904103921,1674351772.191024,1674351772.191034
696904134768,1674351772.224001,1674351772.224012
696904165616,1674351772.252486,1674351772.252496
696904196464,1674351772.283219,1674351772.283229
696904227312,1674351772.314246,1674351772.314256
696904258160,1674351772.345177,1674351772.345186
696904289008,1674351772.382737,1674351772.382748
696904319856,1674351772.406988,1674351772.406998
696904350704,1674351772.437769,1674351772.437779
696904381551,1674351772.468425,1674351772.468434
696904412399,1674351772.499519,1674351772.499530
696904443247,1674351772.532814,1674351772.532824
696904474095,1674351772.561298,1674351772.561308
696904504942,1674351772.592069,1674351772.592078
696904535790,1674351772.622758,1674351772.622767
696904566638,1674351772.654140,1674351772.654151
696904597486,1674351772.686726,1674351772.686736
696904628334,1674351772.715262,1674351772.715273
696904659182,1674351772.745935,1674351772.745947
696904690030,1674351772.776816,1674351772.776826
696904720877,1674351772.807657,1674351772.807668
696904751724,1674351772.841027,1674351772.841038
696904782572,1674351772.869386,1674351772.869396
696904813421,1674351772.900128,1674351772.900138
696904844268,1674351772.931098,1674351772.931108
696904875116,1674351772.962014,1674351772.962025
696904905964,1674351772.995134,1674351772.995144
696904936812,1674351773.023978,1674351773.023988
696904967659,1674351773.054420,1674351773.054430
696904998507,1674351773.085109,1674351773.085119
696905029356,1674351773.116281,1674351773.116292
696905060203,1674351773.149395,1674351773.149406
696905091051,1674351773.178097,1674351773.178107
696905121898,1674351773.208969,1674351773.208979
696905152746,1674351773.239435,1674351773.239445
696905183594,1674351773.270381,1674351773.270391
696905214442,1674351773.303658,1674351773.303668
696905245290,1674351773.332362,1674351773.332373
696905276138,1674351773.363191,1674351773.363201
696905306985,1674351773.394111,1674351773.394120
696905337833,1674351773.424647,1674351773.424657
696905368682,1674351773.457951,1674351773.457961
696905399529,1674351773.486361,1674351773.486371
696905430377,1674351773.517224,1674351773.517234
696905461225,1674351773.548064,1674351773.548075
696905492072,1674351773.579180,1674351773.579189
696905522920,1674351773.612139,1674351773.612149
696905553767,1674351773.640728,1674351773.640737
696905584615,1674351773.671681,1674351773.671691
696905615463,1674351773.702535,1674351773.702545
696905646311,1674351773.733376,1674351773.733385
696905677159,1674351773.766667,1674351773.766677
